Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT3sH0DNg590CknRQ1TvTFnx,Withdrawal,BTC,-0.00644377,BTC,0.00624933,$618.60,0.00019444,BTC,"approved / BTC withdrawal",2024-12-03 03:14:25
NXT6pEZMNTRPJxcyUlOYq1qtO,Withdrawal,BTC,-0.00218772,BTC,0.00200000,$214.71,0.00018772,BTC,"rejected / BTC withdrawal",2024-11-21 18:42:54
NXT56IoJX0fzgesEJZZL8rmJs,Withdrawal,BTC,-0.00671096,BTC,0.00652854,$401.34,0.00018241,BTC,"approved / BTC withdrawal",2024-09-18 20:22:37
NXT1pbRlepAExfcvm0vq59XOO,Withdrawal,BTC,-0.02000000,BTC,0.01981581,$1100.57,0.00018418,BTC,"approved / BTC withdrawal",2024-08-07 20:47:07
NXT4ohFcuz0Q8yF2olx0ahtoO,Interest,BTC,0.00000316,BTC,0.00000316,$0.09,-,-,"approved / BTC Interest Earned",2023-04-01 05:00:15
NXT7gBeC2YtSAQ1Ph6i9Lm7oj,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-31 05:00:15
NXT1aKQG9bJHvLLqZOv3welHb,Interest,BTC,0.00000316,BTC,0.00000316,$0.09,-,-,"approved / BTC Interest Earned",2023-03-30 05:00:16
NXTTJlFlzdiDEFT4sEzBb5Wb,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-29 05:00:15
NXT1Y6cIdD9f2aWb4mrhNkeMj,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-28 05:00:21
NXT3DzaGXBNgN8xKgpi1CImvg,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-27 05:00:15
NXT4GiIop8C4QQHGX3IcRRPCW,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-26 05:00:14
NXT5a04F4HhwkwC9NfR9taYud,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-25 06:00:15
NXTpCkkzAD0a6RRbmSG7tCI0,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-24 06:00:15
NXT2LMaogjhaLFO6C9W4GgisW,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-23 06:00:15
NXT7eRO3ibSdBTNhiJaBAjXk0,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-22 06:00:17
NXT4O5ef08GJwgfo8eCmlqs42,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-21 06:00:15
NXT3JazoD2i643OlhxwJs9Ban,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-20 06:00:15
NXT3xYZTTD7sB6KfG5eUvKRMu,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-19 06:00:15
NXThFctXUf4WkbxR2W55wQrc,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-18 06:00:16
NXT43V17XC0MglrMeNUFeqWNt,Interest,BTC,0.00000316,BTC,0.00000316,$0.08,-,-,"approved / BTC Interest Earned",2023-03-17 06:00:15
NXT1zjJNucLjSFjQmBBMuKrxs,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-16 06:00:16
NXTx7Xm9xVk61OFikODW4rmd,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-15 06:00:16
NXT1LyPLrQ3ME56AHK3aAuXT9,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-14 06:00:10
NXT1mCpBDg0PeUmJmC1aencyQ,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-13 06:00:10
NXT5dySnbie6ut5dhexSUVfPT,Interest,BTC,0.00000316,BTC,0.00000316,$0.06,-,-,"approved / BTC Interest Earned",2023-03-12 06:00:09
NXT6Y6in8mPKJs1pyupdSSU03,Interest,BTC,0.00000316,BTC,0.00000316,$0.06,-,-,"approved / BTC Interest Earned",2023-03-11 06:00:10
NXT2mNJIG0NqqYkjygL4PFNZb,Interest,BTC,0.00000316,BTC,0.00000316,$0.06,-,-,"approved / BTC Interest Earned",2023-03-10 06:00:09
NXT6tUvOBEZxboJNWuwL5zyaF,Interest,BTC,0.00000316,BTC,0.00000316,$0.06,-,-,"approved / BTC Interest Earned",2023-03-09 06:00:10
NXT4QZKkbjkOKeWzVesIvGlo,Interest,BTC,0.00000316,BTC,0.00000316,$0.06,-,-,"approved / BTC Interest Earned",2023-03-08 06:00:10
NXT74SVx0kAeefJILkvDzD8I7,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-07 06:00:10
NXTe3r3fIcxMrAYbjtFoXeq6,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-06 06:00:09
NXT1J7GnuFeT58DdCGDRPOxB4,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-05 06:00:10
NXT6yhVnXRrExXuKNPApsqW8n,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-04 06:00:09
NXT6zhjp4iZIVbcCYQL1Nxtsa,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-03 06:00:10
NXT3hpcdE0x0gp9BuwstUni8G,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-02 06:00:10
NXT3Khz3RGV8BE7N3gxjaDOFF,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-03-01 06:00:10
NXT7Aeu2VzAG0Q4qkd1s0KW0G,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-02-28 06:00:09
NXT56VBWf01yI9uZEJ8mUn7H5,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-02-27 06:00:10
NXT6wyfJnmZAJC1ELfKU1KRT5,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-02-26 06:00:10
NXT39GNR7PLPk4UepqhbdnQxO,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-02-25 06:00:10
NXT5z4nfLSYdJG4PIWveyCLQm,Interest,BTC,0.00000316,BTC,0.00000316,$0.07,-,-,"approved / BTC Interest Earned",2023-02-24 06:00:10
NXT1m7pqCqn1YNmGJF4Czs3QK,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-23 06:00:10
NXT6RI4DT1Gd6KobECYR5Xdcp,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-22 06:00:10
NXT66Re8DUthQUBiCdpUADA1V,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-21 06:00:10
NXT68JwWGbKXTjmuPv4v0LjA9,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-20 06:00:10
NXT7lRoypE4xUbhBksqEMNhA3,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-19 06:00:09
NXT4roTRo8YxO69CLsO6lnX9O,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-18 06:00:10
NXT79mmgi02WbTK0xVsy9Hy2q,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-17 06:00:09
NXT3k22eaUnHjfUR79RzDgHL6,Interest,BTC,0.00000315,BTC,0.00000315,$0.07,-,-,"approved / BTC Interest Earned",2023-02-16 06:00:10
NXT4qeB9A8MIISUrSTEskaHfs,Interest,BTC,0.00000315,BTC,0.00000315,$0.06,-,-,"approved / BTC Interest Earned",2023-02-15 06:00:10
NXT3YPy3frttTOzYZVGzf5BNW,Interest,BTC,0.00000315,BTC,0.00000315,$0.06,-,-,"approved / BTC Interest Earned",2023-02-14 06:00:09
NXT6wJv1YFV9Y7NAnsFZlkwBN,Interest,BTC,0.00000315,BTC,0.00000315,$0.06,-,-,"approved / BTC Interest Earned",2023-02-13 06:00:08
NXT5CTgwqIz4TThlKLuCxgyZR,Interest,BTC,0.00000315,BTC,0.00000315,$0.06,-,-,"approved / BTC Interest Earned",2023-02-12 06:00:10
NXT2vuUTC95c7KuExiZ6xH5Hk,Interest,BTC,0.00000315,BTC,0.00000315,$0.06,-,-,"approved / BTC Interest Earned",2023-02-11 06:00:16
